codigo;apelido;regime;tipo;sped
9996;EXEMPLO ESCRITORIO;GERAL;1;ICMS
9997;EXEMPLO REAL;REAL;2;ICMS
9998;EXEMPLO PRESUMIDO;PRESUMIDO;1;CONTRIBUICOES
9999;EXEMPLO SIMPLES;SIMPLES;1;ICMS
10051;PRESUMIDO COMERCIO;PRESUMIDO;1;ICMS
10052;PRESUMIDO SERVICO;PRESUMIDO;1;ICMS
10053;PRESUMIDO INDUSTRIA;PRESUMIDO;1;ICMS
10054;PRESUMIDO COM E SERV;PRESUMIDO;1;ICMS
10055;PRESUMIDO COM E IND;PRESUMIDO;1;ICMS
10056;PRESUMIDO COM SER IND;PRESUMIDO;1;ICMS
10057;PRESUMIDO TRANSP;PRESUMIDO;1;ICMS
10058;PRESUMIDO POSTO COMB;PRESUMIDO;1;ICMS
10101;REAL COMERCIO;REAL;1;ICMS
10102;REAL SERVICO;REAL;1;ICMS
10103;REAL INDUSTRIA;REAL;1;ICMS
